No.,sample_id,condition,date,temp,aggregate,leachate,notes,species
14,H3L,1,6/20/2024,hot,3,low,,A. elegantissima x B. muscatinei
27,A1C,1,6/20/2024,ambient,1,control,,A. elegantissima x B. muscatinei
53,H8C,2,6/20/2024,hot,8,control,,A. elegantissima x B. muscatinei
67,A6H,1,6/20/2024,ambient,6,high,,A. elegantissima x B. muscatinei
79,A9L,1,6/20/2024,ambient,9,low,,A. elegantissima x B. muscatinei
92,A7C,1,6/20/2024,ambient,7,control,,A. elegantissima x B. muscatinei
105,H3C,1,6/20/2024,hot,3,control,,A. elegantissima x B. muscatinei
118,H5L,1,6/20/2024,hot,5,low,,A. elegantissima x B. muscatinei
131,H9H,1,6/20/2024,hot,9,high,,A. elegantissima x B. muscatinei
144,H6L,1,6/20/2024,hot,6,low,,A. elegantissima x B. muscatinei
157,A9H,1,6/20/2024,ambient,9,high,,A. elegantissima x B. muscatinei
171,A7L,2,6/20/2024,ambient,7,low,,A. elegantissima x B. muscatinei
184,A10C,1,6/20/2024,ambient,10,control,,A. elegantissima x B. muscatinei
197,A8L,1,6/20/2024,ambient,8,low,split,A. elegantissima x B. muscatinei
210,A4H,1,6/20/2024,ambient,4,high,,A. elegantissima x B. muscatinei
223,A3L,1,6/20/2024,ambient,3,low,,A. elegantissima x B. muscatinei
236,A5H,1,6/20/2024,ambient,5,high,,A. elegantissima x B. muscatinei
249,A4C,1,6/20/2024,ambient,4,control,,A. elegantissima x B. muscatinei
262,H6C,1,6/20/2024,hot,6,control,,A. elegantissima x B. muscatinei
288,H6H,1,6/20/2024,hot,6,high,,A. elegantissima x B. muscatinei
301,H4H,1,6/20/2024,hot,4,high,,A. elegantissima x B. muscatinei
314,H4L,1,6/20/2024,hot,4,low,,A. elegantissima x B. muscatinei
327,H3H,1,6/20/2024,hot,3,high,,A. elegantissima x B. muscatinei
340,A1H,1,6/20/2024,ambient,1,high,,A. elegantissima x B. muscatinei
353,A1L,2,6/20/2024,ambient,1,low,,A. elegantissima x B. muscatinei
366,A7H,1,6/20/2024,ambient,7,high,,A. elegantissima x B. muscatinei
379,A8C,1,6/20/2024,ambient,8,control,split,A. elegantissima x B. muscatinei
392,A4L,1,6/20/2024,ambient,4,low,,A. elegantissima x B. muscatinei
405,A10H,1,6/20/2024,ambient,10,high,,A. elegantissima x B. muscatinei
418,H8H,2,6/20/2024,hot,8,high,,A. elegantissima x B. muscatinei
431,H5H,1,6/20/2024,hot,5,high,,A. elegantissima x B. muscatinei
444,H2C,1,6/20/2024,hot,2,control,,A. elegantissima x B. muscatinei
457,H1C,3,6/20/2024,hot,1,control,,A. elegantissima x B. muscatinei
470,H8L,1,6/20/2024,hot,8,low,,A. elegantissima x B. muscatinei
483,H7H,1,6/20/2024,hot,7,high,,A. elegantissima x B. muscatinei
496,A3C,1,6/20/2024,ambient,3,control,,A. elegantissima x B. muscatinei
522,A6L,1,6/20/2024,ambient,6,low,,A. elegantissima x B. muscatinei
534,A8H,1,6/20/2024,ambient,8,high,,A. elegantissima x B. muscatinei
548,A5C,1,6/20/2024,ambient,5,control,,A. elegantissima x B. muscatinei
561,A9C,1,6/20/2024,ambient,9,control,,A. elegantissima x B. muscatinei
574,A2L,1,6/20/2024,ambient,2,low,,A. elegantissima x B. muscatinei
587,H10L,1,6/20/2024,hot,10,low,,A. elegantissima x B. muscatinei
600,H9C,1,6/20/2024,hot,9,control,,A. elegantissima x B. muscatinei
613,H2H,1,6/20/2024,hot,2,high,,A. elegantissima x B. muscatinei
626,H1L,1,6/20/2024,hot,1,low,,A. elegantissima x B. muscatinei
639,H7C,1,6/20/2024,hot,7,control,,A. elegantissima x B. muscatinei
652,H7L,2,6/20/2024,hot,7,low,,A. elegantissima x B. muscatinei
665,A2C,1,6/20/2024,ambient,2,control,,A. elegantissima x B. muscatinei
677,A3H,1,6/20/2024,ambient,3,high,,A. elegantissima x B. muscatinei
691,A2H,1,6/20/2024,ambient,2,high,,A. elegantissima x B. muscatinei
704,A6C,1,6/20/2024,ambient,6,control,,A. elegantissima x B. muscatinei
717,A5L,1,6/20/2024,ambient,5,low,,A. elegantissima x B. muscatinei
729,A10L,1,6/20/2024,ambient,10,low,,A. elegantissima x B. muscatinei
743,H1H,1,6/20/2024,hot,1,high,,A. elegantissima x B. muscatinei
756,H9L,1,6/20/2024,hot,9,low,,A. elegantissima x B. muscatinei
769,H5C,1,6/20/2024,hot,5,control,,A. elegantissima x B. muscatinei
782,H2L,1,6/20/2024,hot,2,low,,A. elegantissima x B. muscatinei
795,H10C,1,6/20/2024,hot,10,control,,A. elegantissima x B. muscatinei
808,H10H,1,6/20/2024,hot,10,high,,A. elegantissima x B. muscatinei
